回答url,页码,评论作者,作者性别,评论内容,作者主页,作者头像,评论时间,评论级别
https://www.zhihu.com/answer/2787194624,1,知乎用户,未知,阿拉伯是沙漠气候，确实有戴头巾的需要，然后由现实需要变为传统<br>伊朗是高原，压根没有这个需求，强行戴头巾就像是剃发易服一样,https://www.zhihu.com/people/wu-ming-72-22-49,https://picx.zhimg.com/v2-f80f4d07bca35f65d9a6ba7e38ca52b4.jpg?source=06d4cd63,2022-12-04 22:52:01,一级评论
https://www.zhihu.com/answer/2787194624,1,杠精派掌门人云杠,男,伊斯兰禁止吃大肉，是因为写教义的时候正好爆发猪瘟，在当时确实是很正确的,https://www.zhihu.com/people/mu-zi-shui-10,https://pica.zhimg.com/dfde02b7cf2bcd41e820950e18d53406.jpg?source=06d4cd63,2022-12-04 23:11:58,二级评论
https://www.zhihu.com/answer/2787194624,1,鸦科拾穗者,男,教义里的禁忌很多照抄犹太教的，犹太教只比伊斯兰多了一个不能吃骆驼[捂脸],https://www.zhihu.com/people/tong-meng-21-4,https://picx.zhimg.com/v2-2d6fadc38ee2adc31cf41538f0d84295.jpg?source=06d4cd63,2022-12-04 23:59:44,二级评论
https://www.zhihu.com/answer/2787194624,1,010010010,未知,看稚嫩的魔法师几年前拍摄的伊朗旅游视频说，伊斯法罕晚上的三十三孔桥就能见到宗教警察，因为三十三孔桥晚上是楠桐聚集地，宗教警察也只是象征性的劝两句，楠桐们也就象征性的躲一下，头巾法也执行的不甚严格，伊朗人私下里饮酒很多，还有从亚美尼亚商店偷偷买猪肉香肠的，可见几年前伊朗的教法执行没有这几年那么严厉，这几年一收紧立刻遭到了反弹,https://www.zhihu.com/people/010010010,https://picx.zhimg.com/v2-f3471501231196ed4daeb6eb207a8759.jpg?source=06d4cd63,2022-12-04 23:36:53,一级评论
https://www.zhihu.com/answer/2787194624,1,骆仪,女,<p>是的，我在伊斯法罕朋友家喝过自酿的啤酒😆 上面有一套，下面有一套，不同城市松紧度也不同，但不等于那些东西是合理的</p>,https://www.zhihu.com/people/luoyigz,https://picx.zhimg.com/v2-20312406bb60b9ca1de0fc9aceea7278.jpg?source=06d4cd63,2022-12-04 23:42:39,二级评论
https://www.zhihu.com/answer/2787194624,1,无限边疆,女,对啊我也看到法师的视频了,https://www.zhihu.com/people/9-93-15-26,https://picx.zhimg.com/v2-959883992487adc85eac63302428c5a6.jpg?source=06d4cd63,2022-12-05 00:45:33,二级评论
https://www.zhihu.com/answer/2787194624,1,东北玩泥巴的,男,我们这还有一堆喜欢封在家里的人,https://www.zhihu.com/people/7-15-71-95,https://picx.zhimg.com/v2-e02da2d5950d717b5745b45581e241a2.jpg?source=06d4cd63,2022-12-05 02:43:42,一级评论
https://www.zhihu.com/answer/2787194624,1,远行的风,未知,要尊重别人的自由，没有人有资格嘲笑别人的选择。,https://www.zhihu.com/people/yuan-xing-de-feng-31,https://pica.zhimg.com/v2-a5912e4b4628b18b8f079cd8e503bda8.jpg?source=06d4cd63,2022-12-05 15:28:46,二级评论
https://www.zhihu.com/answer/2787194624,1,跑路,未知,<p>我倒是尊重别人自由了，那别人倒是尊重尊重我啊[流泪]以德报怨，何以报德？</p>,https://www.zhihu.com/people/dbwuibksab,https://picx.zhimg.com/v2-fc877f990aa25cbbc9414f4a93d12e8b.jpg?source=06d4cd63,2022-12-05 15:49:06,二级评论
https://www.zhihu.com/answer/2787194624,1,双眼皮大眼睛,未知,伊朗女性都戴了这么多年了，应该轮到伊朗男的戴了 ，让所有男性出门都把头包起来，再穿上黑裹尸布，尽情享受他们那神圣的宗教。,https://www.zhihu.com/people/si-ku-52,https://picx.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff.jpg?source=06d4cd63,2022-12-05 00:16:03,一级评论
https://www.zhihu.com/answer/2787194624,1,青岚,未知,掌握先进的生产力的一方一定会赢。,https://www.zhihu.com/people/qing-lan-34-37,https://pica.zhimg.com/v2-a4d18bf1467472ad983abba8000f6c0c.jpg?source=06d4cd63,2022-12-05 08:05:42,二级评论
https://www.zhihu.com/answer/2787194624,1,RedCloak Chen,男,<p>那不就是沙特么……</p>,https://www.zhihu.com/people/redcloak-chen,https://pic1.zhimg.com/9d86c2b2ef4116a837c15f8466f5d19d.jpg?source=06d4cd63,2022-12-05 09:22:02,二级评论
https://www.zhihu.com/answer/2787194624,1,MIscha,男,一个人如果接受了系统的现代教育，那就很难再对种种糟粕产生认同感,https://www.zhihu.com/people/stan-31-19,https://picx.zhimg.com/v2-1e44bbabcf8815c7875df6c2d3bbf4da.jpg?source=06d4cd63,2022-12-05 02:42:06,一级评论
https://www.zhihu.com/answer/2787194624,1,远行的风,未知,这可难说…,https://www.zhihu.com/people/yuan-xing-de-feng-31,https://picx.zhimg.com/v2-a5912e4b4628b18b8f079cd8e503bda8.jpg?source=06d4cd63,2022-12-05 15:29:29,二级评论
https://www.zhihu.com/answer/2787194624,1,知乎用户,女,天呐竟然是一帮妇女…………刷新三观,https://www.zhihu.com/people/,https://pic1.zhimg.com/da8e974dc.jpg?source=06d4cd63,2022-12-04 21:22:07,一级评论
https://www.zhihu.com/answer/2787194624,1,orup,未知,<p>古代裹脚也往往是母亲给裹的 在数十年的洗脑中大部分中年女性已经自觉接受了这一传统 反而是男的觉得无所谓</p>,https://www.zhihu.com/people/oruporuporuporup,https://picx.zhimg.com/v2-026da7ab77d7d19a1a8b90ae097060bd.jpg?source=06d4cd63,2022-12-04 21:30:22,二级评论
https://www.zhihu.com/answer/2787194624,1,芦智刚,男,<p>一方面是男人抓女人的话有违“男女授受不亲”，另一方面她们可能也需要说服自己受的限制是必需的，免得心理失衡</p>,https://www.zhihu.com/people/lu-zhi-gang-66,https://pica.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff.jpg?source=06d4cd63,2022-12-04 22:13:49,二级评论
https://www.zhihu.com/answer/2787194624,1,肉肉的环球旅行,男,其实男的着装也不是没要求 有次在德黑兰我穿短裤出门 到膝盖往上一点 有人来教育我 让我回去换[飙泪笑],https://www.zhihu.com/people/zai-lu-shang-de-qi-shi,https://picx.zhimg.com/v2-3a5d662a846cc84b2c07fbca2d2783d3.jpg?source=06d4cd63,2022-12-05 04:15:01,一级评论
